Edad simple;Provincias;Sexo;Periodo;Total
Todas las edades;24 León;Hombres;1 de abril de 2025;218.195
Todas las edades;24 León;Mujeres;1 de octubre de 2025;229.655
Todas las edades;24 León;Mujeres;1 de julio de 2025;229.716
Todas las edades;24 León;Mujeres;1 de abril de 2025;229.711
Todas las edades;25 Lleida;Total;1 de octubre de 2025;461.756
Todas las edades;25 Lleida;Total;1 de julio de 2025;460.113
Todas las edades;25 Lleida;Total;1 de abril de 2025;458.039
Todas las edades;25 Lleida;Hombres;1 de octubre de 2025;237.748
Todas las edades;25 Lleida;Hombres;1 de julio de 2025;236.672
Todas las edades;25 Lleida;Hombres;1 de abril de 2025;235.538
Todas las edades;25 Lleida;Mujeres;1 de octubre de 2025;224.008
Todas las edades;25 Lleida;Mujeres;1 de julio de 2025;223.441
Todas las edades;25 Lleida;Mujeres;1 de abril de 2025;222.501
Todas las edades;27 Lugo;Total;1 de octubre de 2025;327.060
Todas las edades;27 Lugo;Total;1 de julio de 2025;326.487
Todas las edades;27 Lugo;Total;1 de abril de 2025;326.040
Todas las edades;27 Lugo;Hombres;1 de octubre de 2025;159.088
Todas las edades;27 Lugo;Hombres;1 de julio de 2025;158.751
Todas las edades;27 Lugo;Hombres;1 de abril de 2025;158.424
Todas las edades;27 Lugo;Mujeres;1 de octubre de 2025;167.972
Todas las edades;27 Lugo;Mujeres;1 de julio de 2025;167.736
Todas las edades;27 Lugo;Mujeres;1 de abril de 2025;167.616
Todas las edades;28 Madrid;Total;1 de octubre de 2025;7.167.412
Todas las edades;28 Madrid;Total;1 de julio de 2025;7.160.712
Todas las edades;28 Madrid;Total;1 de abril de 2025;7.145.718
Todas las edades;28 Madrid;Hombres;1 de octubre de 2025;3.434.975
Todas las edades;28 Madrid;Hombres;1 de julio de 2025;3.431.266
Todas las edades;28 Madrid;Hombres;1 de abril de 2025;3.423.837
Todas las edades;28 Madrid;Mujeres;1 de octubre de 2025;3.732.437
Todas las edades;28 Madrid;Mujeres;1 de julio de 2025;3.729.446
Todas las edades;28 Madrid;Mujeres;1 de abril de 2025;3.721.881
Todas las edades;29 Málaga;Total;1 de octubre de 2025;1.802.417
Todas las edades;29 Málaga;Total;1 de julio de 2025;1.803.199
Todas las edades;29 Málaga;Total;1 de abril de 2025;1.797.321
Todas las edades;29 Málaga;Hombres;1 de octubre de 2025;880.673
Todas las edades;29 Málaga;Hombres;1 de julio de 2025;881.146
Todas las edades;29 Málaga;Hombres;1 de abril de 2025;878.229
Todas las edades;29 Málaga;Mujeres;1 de octubre de 2025;921.744
Todas las edades;29 Málaga;Mujeres;1 de julio de 2025;922.053
Todas las edades;29 Málaga;Mujeres;1 de abril de 2025;919.092
Todas las edades;30 Murcia;Total;1 de octubre de 2025;1.598.436
Todas las edades;30 Murcia;Total;1 de julio de 2025;1.595.334
Todas las edades;30 Murcia;Total;1 de abril de 2025;1.589.840
Todas las edades;30 Murcia;Hombres;1 de octubre de 2025;800.947
Todas las edades;30 Murcia;Hombres;1 de julio de 2025;799.557
Todas las edades;30 Murcia;Hombres;1 de abril de 2025;797.053
Todas las edades;30 Murcia;Mujeres;1 de octubre de 2025;797.489
Todas las edades;30 Murcia;Mujeres;1 de julio de 2025;795.777
Todas las edades;30 Murcia;Mujeres;1 de abril de 2025;792.787
Todas las edades;31 Navarra;Total;1 de octubre de 2025;688.372
Todas las edades;31 Navarra;Total;1 de julio de 2025;686.180
Todas las edades;31 Navarra;Total;1 de abril de 2025;684.912
Todas las edades;31 Navarra;Hombres;1 de octubre de 2025;341.563
Todas las edades;31 Navarra;Hombres;1 de julio de 2025;340.389
Todas las edades;31 Navarra;Hombres;1 de abril de 2025;339.687
Todas las edades;31 Navarra;Mujeres;1 de octubre de 2025;346.809
Todas las edades;31 Navarra;Mujeres;1 de julio de 2025;345.791
Todas las edades;31 Navarra;Mujeres;1 de abril de 2025;345.225
Todas las edades;32 Ourense;Total;1 de octubre de 2025;306.765
Todas las edades;32 Ourense;Total;1 de julio de 2025;305.972
Todas las edades;32 Ourense;Total;1 de abril de 2025;305.332
Todas las edades;32 Ourense;Hombres;1 de octubre de 2025;147.404
Todas las edades;32 Ourense;Hombres;1 de julio de 2025;146.967
Todas las edades;32 Ourense;Hombres;1 de abril de 2025;146.656
Todas las edades;32 Ourense;Mujeres;1 de octubre de 2025;159.361
Todas las edades;32 Ourense;Mujeres;1 de julio de 2025;159.005
Todas las edades;32 Ourense;Mujeres;1 de abril de 2025;158.676
Todas las edades;34 Palencia;Total;1 de octubre de 2025;159.534
Todas las edades;34 Palencia;Total;1 de julio de 2025;159.088
Todas las edades;34 Palencia;Total;1 de abril de 2025;158.797
Todas las edades;34 Palencia;Hombres;1 de octubre de 2025;79.419
Todas las edades;34 Palencia;Hombres;1 de julio de 2025;79.122
Todas las edades;34 Palencia;Hombres;1 de abril de 2025;78.930
Todas las edades;34 Palencia;Mujeres;1 de octubre de 2025;80.115
Todas las edades;34 Palencia;Mujeres;1 de julio de 2025;79.966
Todas las edades;34 Palencia;Mujeres;1 de abril de 2025;79.867
Todas las edades;35 Palmas, Las;Total;1 de octubre de 2025;1.176.713
Todas las edades;35 Palmas, Las;Total;1 de julio de 2025;1.174.864
Todas las edades;35 Palmas, Las;Total;1 de abril de 2025;1.173.195
Todas las edades;35 Palmas, Las;Hombres;1 de octubre de 2025;584.002
Todas las edades;35 Palmas, Las;Hombres;1 de julio de 2025;583.386
Todas las edades;35 Palmas, Las;Hombres;1 de abril de 2025;582.828
Todas las edades;35 Palmas, Las;Mujeres;1 de octubre de 2025;592.711
Todas las edades;35 Palmas, Las;Mujeres;1 de julio de 2025;591.478
Todas las edades;35 Palmas, Las;Mujeres;1 de abril de 2025;590.367
Todas las edades;36 Pontevedra;Total;1 de octubre de 2025;950.448
Todas las edades;36 Pontevedra;Total;1 de julio de 2025;949.436
Todas las edades;36 Pontevedra;Total;1 de abril de 2025;948.412
Todas las edades;36 Pontevedra;Hombres;1 de octubre de 2025;458.849
Todas las edades;36 Pontevedra;Hombres;1 de julio de 2025;458.421
Todas las edades;36 Pontevedra;Hombres;1 de abril de 2025;457.871
